Name,FP,Price,Completions/Attempts,PassYards,PassTDs,INTs,Rushes,RushYds,RushTDs,Targets,Receptions,RecYards,RecTDs
Matt Slater,0.0,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.00,0.03
Darrynton Evans,0.0,4000,0.000.00,0.00,0.00,0.00,0.05,0.23,0.00,0.00,0.00,0.00,0.00
Brian Hoyer,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colt McCoy,0.0,4100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Blaine Gabbert,0.0,4200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Fitzpatrick,0.0,5500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad Henne,0.0,4100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tyrod Taylor,0.0,5100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drew Brees,0.0,5900,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matt Schaub,0.0,4700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jameis Winston,0.0,5400,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dalton Keene,0.0,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
La'Mical Perine,0.0,4100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Will Grier,0.0,4600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nsimba Webster,0.0,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jarrett Stidham,0.0,4700,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Griffin,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chris Streveler,0.0,5000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K.J. Osborn,0.0,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Easton Stick,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Logan Woodside,0.0,4100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dan Chisena,0.0,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brett Rypien,0.0,4800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xavier Jones,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raymond Calais,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Preston Williams,0.0,4300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeff Driskel,0.0,4300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcus Mariota,0.0,4300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sean Mannion,0.0,4300,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Devonta Freeman,0.0,4600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Case Keenum,0.0,4800,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matt Barkley,0.0,4200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chris Thompson,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brett Hundley,0.0,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christian McCaffrey,0.0,9200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathan Peterman,0.0,4200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Justin Jackson,0.0,4100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C.J. Beathard,0.0,5000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Austin Ekeler,0.0,6100,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Mixon,0.0,6200,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mike Glennon,0.0,4600,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
