P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,1B,Anthony Rizzo (15272691),Anthony Rizzo,15272691,1B,5300,CHC@PIT 09/03/2020 01:35PM ET,CHC,7.89
,,,,,,,,,,,3B,Alex Bregman (15272760),Alex Bregman,15272760,3B,5200,TEX@HOU 09/03/2020 02:10PM ET,HOU,8.46
,,,,,,,,,,,2B,Jose Altuve (15272692),Jose Altuve,15272692,2B,5100,TEX@HOU 09/03/2020 02:10PM ET,HOU,6.65
,,,,,,,,,,,C,Willson Contreras (15272693),Willson Contreras,15272693,C,5000,CHC@PIT 09/03/2020 01:35PM ET,CHC,6.69
,,,,,,,,,,,1B,Yuli Gurriel (15272694),Yuli Gurriel,15272694,1B,4900,TEX@HOU 09/03/2020 02:10PM ET,HOU,7.74
,,,,,,,,,,,SS,Carlos Correa (15272695),Carlos Correa,15272695,SS,4800,TEX@HOU 09/03/2020 02:10PM ET,HOU,6.69
,,,,,,,,,,,3B/OF,Kris Bryant (15272696),Kris Bryant,15272696,3B/OF,4700,CHC@PIT 09/03/2020 01:35PM ET,CHC,6.06
,,,,,,,,,,,RP,Ian Gibaut (15272871),Ian Gibaut,15272871,P,4700,TEX@HOU 09/03/2020 02:10PM ET,TEX,1.80
,,,,,,,,,,,OF,George Springer (15272698),George Springer,15272698,OF,4600,TEX@HOU 09/03/2020 02:10PM ET,HOU,7.43
,,,,,,,,,,,SS,Javier Baez (15272699),Javier Baez,15272699,SS,4500,CHC@PIT 09/03/2020 01:35PM ET,CHC,6.57
,,,,,,,,,,,OF,Joey Gallo (15272700),Joey Gallo,15272700,OF,4500,TEX@HOU 09/03/2020 02:10PM ET,TEX,7.24
,,,,,,,,,,,2B/SS,Kevin Newman (15272703),Kevin Newman,15272703,2B/SS,4400,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.30
,,,,,,,,,,,OF,Ian Miller (15272761),Ian Miller,15272761,OF,4400,CHC@PIT 09/03/2020 01:35PM ET,CHC,0
,,,,,,,,,,,OF,Kyle Tucker (15272701),Kyle Tucker,15272701,OF,4400,TEX@HOU 09/03/2020 02:10PM ET,HOU,9.76
,,,,,,,,,,,C,Martin Maldonado (15272702),Martin Maldonado,15272702,C,4400,TEX@HOU 09/03/2020 02:10PM ET,HOU,6.55
,,,,,,,,,,,OF,Kyle Schwarber (15272705),Kyle Schwarber,15272705,OF,4300,CHC@PIT 09/03/2020 01:35PM ET,CHC,8.11
,,,,,,,,,,,1B,Jose Martinez (15272706),Jose Martinez,15272706,1B,4300,CHC@PIT 09/03/2020 01:35PM ET,CHC,4.92
,,,,,,,,,,,OF,Ian Happ (15272707),Ian Happ,15272707,OF,4200,CHC@PIT 09/03/2020 01:35PM ET,CHC,9.31
,,,,,,,,,,,3B/SS,Erik Gonzalez (15272708),Erik Gonzalez,15272708,3B/SS,4100,CHC@PIT 09/03/2020 01:35PM ET,PIT,6.67
,,,,,,,,,,,RP,Jesse Chavez (15272872),Jesse Chavez,15272872,P,4100,TEX@HOU 09/03/2020 02:10PM ET,TEX,0.84
