QB,RB,RB,WR,WR,WR,TE,FLEX,D
Derek Carr 52101-45859,Derrick Henry 52101-39280,Alvin Kamara 52101-42104,Brandin Cooks 52101-29501,Keke Coutee 52101-64242,Nelson Agholor 52101-29683,Darren Waller 52101-25011,Austin Ekeler 52101-80001,122.9,
Mitchell Trubisky 52101-38628,Derrick Henry 52101-39280,David Montgomery 52101-73273,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Keke Coutee 52101-64242,Darren Waller 52101-25011,Austin Ekeler 52101-80001,125.99999999999999,
Mitchell Trubisky 52101-38628,Dalvin Cook 52101-54140,David Montgomery 52101-73273,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Anthony Miller 52101-41936,Darren Waller 52101-25011,Austin Ekeler 52101-80001,124.1,
Mitchell Trubisky 52101-38628,Austin Ekeler 52101-80001,David Montgomery 52101-73273,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Anthony Miller 52101-41936,Darren Waller 52101-25011,Derrick Henry 52101-39280,121.39999999999999,
Philip Rivers 52101-7968,Derrick Henry 52101-39280,Austin Ekeler 52101-80001,Allen Robinson II 52101-28643,Michael Pittman Jr. 52101-69213,T.Y. Hilton 52101-22031,Darren Waller 52101-25011,D'Andre Swift 52101-91598,123.89999999999999,
Kirk Cousins 52101-22038,Austin Ekeler 52101-80001,James Robinson 52101-130288,DJ Chark Jr. 52101-52917,Keke Coutee 52101-64242,Laviska Shenault Jr. 52101-87859,Darren Waller 52101-25011,Dalvin Cook 52101-54140,124.09999999999998,
Kirk Cousins 52101-22038,Derrick Henry 52101-39280,James Robinson 52101-130288,DJ Chark Jr. 52101-52917,Keelan Cole Sr. 52101-79998,Laviska Shenault Jr. 52101-87859,Darren Waller 52101-25011,Austin Ekeler 52101-80001,123.1,
Baker Mayfield 52101-41535,Derrick Henry 52101-39280,D'Andre Swift 52101-91598,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Jarvis Landry 52101-31394,Austin Hooper 52101-40126,Austin Ekeler 52101-80001,123.7,
Kirk Cousins 52101-22038,Dalvin Cook 52101-54140,Austin Ekeler 52101-80001,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Russell Gage 52101-52916,Hayden Hurst 52101-64031,Alvin Kamara 52101-42104,121.60000000000001,
Deshaun Watson 52101-54879,Derrick Henry 52101-39280,D'Andre Swift 52101-91598,Brandin Cooks 52101-29501,Marvin Jones Jr. 52101-22103,Keke Coutee 52101-64242,Darren Waller 52101-25011,Austin Ekeler 52101-80001,124.6,
Kirk Cousins 52101-22038,Derrick Henry 52101-39280,D'Andre Swift 52101-91598,Brandin Cooks 52101-29501,Cooper Kupp 52101-79970,Marvin Jones Jr. 52101-22103,T.J. Hockenson 52101-71706,Austin Ekeler 52101-80001,122.20000000000002,
Sam Darnold 52101-63589,Derrick Henry 52101-39280,Alvin Kamara 52101-42104,Brandin Cooks 52101-29501,Denzel Mims 52101-72453,Breshad Perriman 52101-34295,Darren Waller 52101-25011,Austin Ekeler 52101-80001,122.0,
Brandon Allen 52101-31170,Derrick Henry 52101-39280,Giovani Bernard 52101-25290,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Tee Higgins 52101-89981,Darren Waller 52101-25011,Austin Ekeler 52101-80001,122.10000000000001,
Kirk Cousins 52101-22038,Dalvin Cook 52101-54140,Wayne Gallman Jr. 52101-39818,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Sterling Shepard 52101-27477,Evan Engram 52101-41872,Austin Ekeler 52101-80001,124.6,
Deshaun Watson 52101-54879,Derrick Henry 52101-39280,Wayne Gallman Jr. 52101-39818,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Sterling Shepard 52101-27477,Evan Engram 52101-41872,Austin Ekeler 52101-80001,122.1,
Deshaun Watson 52101-54879,Derrick Henry 52101-39280,Wayne Gallman Jr. 52101-39818,Brandin Cooks 52101-29501,DeVante Parker 52101-33260,Keke Coutee 52101-64242,Mike Gesicki 52101-56265,Austin Ekeler 52101-80001,122.79999999999998,
